Timeline,olbi1,olbi2,olbi2r,olbi3,olbi3r,olbi4,olbi4r,olbi5,olbi6,olbi6r,olbi7,olbi8,olbi8r,olbi9,olbi9r,olbi10,olbi11,olbi11r,olbi12,olbi12r,olbi13,olbi14,olbi15,olbi16,olbi16r,Gender,Age,Education_level
16331,2,2,3,2,3,1,4,2,4,1,1,3,2,2,3,3,4,1,2,3,4,2,3,2,3,2,1973,2
16331,2,4,1,4,1,4,1,2,2,3,2,4,1,4,1,4,4,1,4,1,4,2,4,1,4,1,1949,5
16331,2,2,3,3,2,1,4,4,4,1,2,1,4,3,2,3,2,3,2,3,1,1,1,2,3,1,1962,5
16331,3,1,4,3,2,1,4,3,4,1,2,1,4,2,3,3,2,3,1,4,3,2,2,2,3,2,1979,5
16331,1,4,1,4,1,4,1,1,4,1,1,3,2,4,1,1,4,1,3,2,1,1,1,1,4,2,1969,4
16331,1,3,2,2,3,1,4,3,3,2,1,2,3,3,2,3,4,1,2,3,4,2,2,2,3,1,1960,5
16331,2,4,1,4,1,4,1,2,3,2,1,4,1,4,1,1,4,1,4,1,2,1,2,1,4,1,1972,5
16331,2,2,3,4,1,2,3,1,3,2,2,2,3,3,2,3,4,1,2,3,3,1,2,2,3,2,1977,2
16331,2,4,1,4,1,2,3,2,2,3,2,2,3,2,3,2,4,1,2,3,3,2,3,2,3,2,1972,2
16331,2,4,1,4,1,4,1,1,4,1,1,4,1,4,1,1,4,1,4,1,4,1,4,1,4,2,1977,4
16331,1,1,4,4,1,1,4,3,4,1,1,1,4,4,1,3,4,1,1,4,3,2,1,1,4,2,1963,4
16331,1,2,3,1,4,3,2,4,4,1,1,3,2,1,4,2,3,2,1,4,4,2,2,2,3,2,1978,5
16331,1,2,3,4,1,1,4,1,4,1,1,4,1,4,1,1,1,4,4,1,1,1,4,1,4,2,1964,2
16331,1,1,4,3,2,2,3,3,4,1,1,2,3,4,1,4,4,1,2,3,3,1,2,2,3,2,1970,2
16331,2,3,2,3,2,1,4,2,4,1,3,2,3,3,2,2,4,1,2,3,4,1,2,1,4,2,1974,6
16331,1,4,1,3,2,2,3,2,4,1,1,3,2,4,1,1,4,1,3,2,4,1,3,1,4,2,1976,6
16331,1,3,2,3,2,1,4,2,4,1,1,2,3,4,1,1,4,1,3,2,4,1,3,1,4,2,1958,2
16331,1,4,1,4,1,2,3,3,3,2,2,3,2,3,2,3,3,2,2,3,4,2,3,2,3,1,1966,6
16332,3,1,4,2,3,2,3,3,4,1,3,1,4,2,3,2,2,3,1,4,3,2,2,3,2,2,1972,2
16332,2,3,2,3,2,3,2,3,3,2,4,2,3,3,2,2,2,3,3,2,4,2,3,2,3,2,1967,4
16332,2,3,2,3,2,2,3,2,3,2,3,3,2,2,3,2,4,1,2,3,4,1,2,2,3,1,1977,6
16332,1,3,2,4,1,4,1,4,4,1,1,4,1,4,1,1,3,2,3,2,2,1,3,1,4,2,1960,2
16332,2,1,4,4,1,2,3,3,4,1,1,3,2,4,1,4,4,1,2,3,4,1,2,1,4,1,1955,5
16332,2,3,2,4,1,3,2,2,4,1,1,2,3,4,1,2,4,1,3,2,2,1,2,1,4,2,1963,2
16332,2,3,2,2,3,4,1,1,2,3,4,2,3,2,3,3,2,3,1,4,2,2,2,2,3,2,1971,5
16332,1,3,2,4,1,3,2,2,2,3,1,4,1,4,1,1,4,1,3,2,4,1,2,1,4,2,1965,5
